id,type,text1,text2,text3,notes
nom_ultralight_electron_maser,WEAPON,A miniaturized version of the electron maser. It is weak but extremely efficient.,Harassment,,
nom_twin_ultralight_electron_maser,WEAPON,Twin barrels make the ultralight slightly more effective.,Harassment,,
nom_light_electron_maser,WEAPON,"A low-energy pulse beam turret, good for harassing enemy fighters and frigates.",Assault,,
nom_heavy_electron_maser,WEAPON,"Standard high-yield electron maser weapon, the favoured Nomad ship weapon.",Assault,,
nom_twin_electron_maser,WEAPON,A large slot provides the heat dissipation needed to field a matched pair of heavy electron masers.,Assault,,
nom_triple_electron_maser,WEAPON,Massive flux requirements and damage output; this weapon is unmatched in its ferocity.,Assault,,
nom_firecracker,WEAPON,"Standard Nomad point defense weapon, named for its distinct detonation profile.",Point-Defense,,
nom_maser_pulse_beam,WEAPON,Extreme long-range projectile cohesion lends this weapon to a support function.,Support,,
nom_self_sustained_fusion_torpedo_mini,WEAPON,"Miniaturized version of the Fusion Torpedo, but with inferior yield and guidance capabilities.",Support,,
nom_self_sustained_fusion_torpedo_pod,WEAPON,Self-Sustained Fusion Torpedo pod can launch heat-seeking smart torpedos.,Support,,
nom_self_sustained_fusion_torpedo_bank,WEAPON,An enormous charge capacity for the standard-sized Fusion Torpedo.,Support,,
nom_solar_crucible,WEAPON,A medium-long range strike weapon with a long cooldown. Use with care.,Strike,,
nom_doom_cannon,WEAPON,"Highly specialized energy pulse cannon, designed exclusively for the Gila Monster. Limited charges.",Assault,,
,,,,,
nom_fang,SHIP,"Armed with Retribution launchers, Fang Bombers fill the role of damage otherwise lacking in the Nomad arsenal. (NB: this weapon is currently non-functional) ",,,
nom_toad,SHIP,"Toad heavy-fighters emphasise the overwhelming close-range firepower characteristic to Nomad combat tactics. With each fighter packing enough firepower to rival a frigate, a full wing can pose serious threat to any lone-wolf operator seeking a fast fortune.",,,
nom_gecko,SHIP,"Gecko drones are specialized robotic defense units, manufactured en-masse for exclusive use by the Oasis.",,,
nom_scarab,SHIP,"Scarabs are light and cheap to build, and most effectively deployed as short-range scouts. Due to its fragility and outdated design relative to post-Domain standards, Scarab wings do not serve well as fighter screens.",,,
nom_iguana,SHIP,"Iguana have unusually high flux capacity, but with a crew requirement to match. They are classed as Corvettes, yet fly in three-ship wings and can be field-refitted like fighters.",,,
nom_wurm,SHIP,"If any Domain citizen has ever seen a Nomad vessel in detail, chances are it would be a Wurm-class assault frigate. This staple design carries with it all of the core Nomad military virtues: short and powerful electron masers, relatively decent armor, and maintenance so simple that the vessel is almost self-sufficient. Wurms are the general-purpose ships in the Nomad fleet, serving as padding and filler for the various specialised or larger components of a combined-arms fleet. The threat of a single Wurm is near non-existent, akin to that of a shield-equipped Hound or Cerebus piloted by an over-ambitious rebel. However, when operated with the support of other ships, the prospect of being flanked and pounded into scrap becomes a grave concern. Commanders are reminded that masers were obsoleted due to their flux inefficiency and short-range, but are otherwise just as devastating as Tritachyon pulse lasers.",,,
nom_yellowjacket,SHIP,"The single, devastating sniper maser equipped on the Yellowjacket seems to be the best Nomads could do to stretch the range-limitations of  maser technology. The cost of overspecialisation is fairly extreme - the extensive support systems required to operate this stallion renders the rest of the Yellowjacket's performance profiles rather feeble. To make an analogy to Domain doctrine, Yellowjackets are similar to Vigilence-class frigates in their fleet-support roles. Its principle value to the Nomad arsenal is the addition of ranged firepower otherwise lacking in frontline ships, which greatly eases the difficulty Nomad fleets have when dealing with technologcially superior opponents.",,,
